,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
gcc_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145537.698554195,320827.84710164,0.0,0.0,0.0,0.0,0.0,0.0,160556.607948125,242911.644951648,1167092.357508304,0.0,174948.562555657,0.0,0.0,2.211874718619569,0.063075,0.83947940472,3.051354123339569,0.19246416132964334,0.012139676975867255
perlbench_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86107.21264863,252361.93172840998,0.0,0.0,0.0,0.0,0.0,0.0,138442.743508786,210773.29548037198,1036143.3646722019,0.0,157863.548560511,0.0,0.0,1.8816920965989108,0.054797,0.7293056352031999,2.6109977318021107,0.14307484270956025,0.007840072155955773
perlbench_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86117.1896713,252411.35518706002,0.0,0.0,0.0,0.0,0.0,0.0,138443.648136313,210762.94817381998,1036136.4376854959,0.0,157853.004779894,0.0,0.0,1.881724583633883,0.054795,0.729279016752,2.611003600385883,0.14306994228314446,0.007839517487404902
perlbench_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86119.32937878999,252468.13756832003,0.0,0.0,0.0,0.0,0.0,0.0,138443.509094721,210762.46991422,1036123.9423431489,0.0,157847.144476915,0.0,0.0,1.8817645327761148,0.054795,0.729279016752,2.611043549528115,0.14307213129639307,0.007839637434385859
cactuBSSN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229729.036047025,194155.11445716998,0.0,0.0,0.0,0.0,0.0,0.0,140007.547013752,715544.4379381799,1036158.3110740079,0.0,445301.808635377,0.0,0.0,2.7608962551655116,0.18603,2.475915238368,5.236811493533512,0.9742040421420393,0.18123117795968358
cactuBSSN_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217014.43466978997,190056.65854067,0.0,0.0,0.0,0.0,0.0,0.0,142784.86610374,729634.043636148,1056995.2909518,0.0,453073.583213736,0.0,0.0,2.789558877115884,0.189693,2.5246669317408,5.314225808856683,1.0080714363594507,0.19122409497733328
fotonik3d_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67716.275320065,240808.46681159,0.0,0.0,0.0,0.0,0.0,0.0,144412.962320852,239519.295546896,1090469.857427108,0.0,175087.925331216,0.0,0.0,1.9580147827577272,0.06226,0.828632385856,2.7866471686137273,0.17349665271789066,0.010801901598215874
fotonik3d_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67705.37823147001,240773.17921149998,0.0,0.0,0.0,0.0,0.0,0.0,144413.527534371,239529.47365085597,1090485.467186775,0.0,175089.03951612598,0.0,0.0,1.957996065331098,0.062263,0.8286723135327999,2.7866683788638977,0.17350633327320286,0.01080302482858943
fotonik3d_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67701.86403811001,240792.18439495,0.0,0.0,0.0,0.0,0.0,0.0,144413.543511864,239516.916991764,1090481.9403654488,0.0,175083.636912692,0.0,0.0,1.9579900862148287,0.06226,0.828632385856,2.7866224720708286,0.1734951151111298,0.010801805866818942
cactuBSSN_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210243.08726973,189337.75641593,0.0,0.0,0.0,0.0,0.0,0.0,139544.758336164,707893.8030142321,1036230.7047138889,0.0,440662.245705853,0.0,0.0,2.723912355455798,0.184041,2.4494431886496,5.173355544105398,0.9521095276927016,0.1752271895860925
povray_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84171.9833175,333142.20435842,0.0,0.0,0.0,0.0,0.0,0.0,155727.32380542898,229837.04678382797,1162244.984319479,0.0,170853.250604391,0.0,0.0,2.1359767931890468,0.059702,0.7945873867712,2.9305641799602467,0.17496054267198663,0.010445494318602946
xalancbmk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108664.81188048501,133463.69542263,0.0,0.0,0.0,0.0,0.0,0.0,172777.48786708698,516682.81918954,1307504.3005911638,0.0,455019.946878243,0.0,0.0,2.6941130618291487,0.134238,1.7866038260927999,4.4807168879219486,0.6014824736008665,0.08074180429123311
xalancbmk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104635.79957842501,123438.23422519,0.0,0.0,0.0,0.0,0.0,0.0,172349.673734513,510214.03329522,1306863.825468523,0.0,450182.080778336,0.0,0.0,2.6676836470802074,0.132562,1.7642975639872,4.4319812110674075,0.5875122933015178,0.0778818046246358
povray_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89241.088552465,339730.04188424,0.0,0.0,0.0,0.0,0.0,0.0,170382.328823558,271568.151062128,1271685.7817504178,0.0,202931.982474169,0.0,0.0,2.3455393745469775,0.070522,0.9385932077632,3.2841325823101775,0.23160359796967833,0.016333148936017654
roms_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68205.08645453,217646.41881635,0.0,0.0,0.0,0.0,0.0,0.0,143057.373747201,301743.736611092,1094297.376479182,0.0,224008.333109235,0.0,0.0,2.0489583252175896,0.078446,1.0440555114176,3.0930138366351896,0.24263456342868409,0.019033710962726554
roms_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59888.725611585,214359.55501542,0.0,0.0,0.0,0.0,0.0,0.0,141671.45106437098,194772.00433333998,1090771.337894026,0.0,149559.08769594,0.0,0.0,1.8510221616146818,0.050636,0.6739259474816,2.5249481090962815,0.12785327245219932,0.006473978303889565
gcc_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143975.16577074502,303587.83349418,0.0,0.0,0.0,0.0,0.0,0.0,197533.151629248,406487.71374765196,1446908.321934714,0.0,297077.897550562,0.0,0.0,2.7955700841271005,0.105478,1.4038304978368,4.1994005819639,0.44294437458438823,0.0467208867424121
povray_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89500.792106545,341989.14498264,0.0,0.0,0.0,0.0,0.0,0.0,173858.948957153,279492.729018376,1297611.0171866089,0.0,209660.450142161,0.0,0.0,2.3921130823934837,0.072577,0.9659436663712,3.3580567487646835,0.24371768465509444,0.01768829839921279
gcc_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107152.287783915,299833.49979955,0.0,0.0,0.0,0.0,0.0,0.0,195282.067231412,373750.603512044,1437094.8825281258,0.0,290875.52467488503,0.0,0.0,2.703988865529932,0.097019,1.2912477584864,3.995236624016332,0.3876138620254405,0.03760590927984621
parest_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33710.707333160004,233257.05271304998,0.0,0.0,0.0,0.0,0.0,0.0,155950.436233399,367089.95739773597,1184437.048127893,0.0,279513.431227537,0.0,0.0,2.253958633032775,0.095401,1.2697134314656,3.523672064498375,0.3361618386252095,0.03207017556668361
parest_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33520.30880626,232608.68059645,0.0,0.0,0.0,0.0,0.0,0.0,155780.71866329698,362521.363204152,1183392.845202732,0.0,275920.610452355,0.0,0.0,2.2437445269252456,0.094214,1.2539153806784,3.4976599076036456,0.3295285305349699,0.031046200975821656
parest_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34995.048252994995,230113.52731222997,0.0,0.0,0.0,0.0,0.0,0.0,156400.00001421,361157.407414512,1188586.672158473,0.0,276416.871591642,0.0,0.0,2.2476695267440623,0.093858,1.2491772963648,3.4968468231088625,0.32820704912335164,0.030804857216619536
xalancbmk_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28212.48323433,168337.73808294,0.0,0.0,0.0,0.0,0.0,0.0,197033.39281811,638747.2285742679,1491232.9358005128,0.0,481473.46559707297,0.0,0.0,3.0050372441072337,0.166042,2.2098904370751997,5.214927681182433,0.8658970220388936,0.14377527333338197
wrf_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73600.03592174001,297300.60446933,0.0,0.0,0.0,0.0,0.0,0.0,144785.927775965,368501.396293228,1097567.76887744,0.0,272422.769227867,0.0,0.0,2.25417850256557,0.095799,1.2750105032544,3.52918900581997,0.3380927775685473,0.03238894999828926
exchange2_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75521.020529855,141856.20850489,0.0,0.0,0.0,0.0,0.0,0.0,153551.59456271,194789.354573872,1173992.344737585,0.0,161250.059334645,0.0,0.0,1.9009605822435571,0.050588,0.6732871046528,2.5742476868963573,0.13022604198471294,0.006587875011922658
exchange2_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69025.88268010001,137579.06627533,0.0,0.0,0.0,0.0,0.0,0.0,151649.864646469,188434.247839332,1162434.487211139,0.0,157189.71197965503,0.0,0.0,1.8663132606320252,0.048947,0.6514466654432,2.5177599260752253,0.12323679510160404,0.006032071409838213
exchange2_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70389.48291386,138819.65157896,0.0,0.0,0.0,0.0,0.0,0.0,153222.064918374,192048.16067368,1173336.2923470149,0.0,160002.161726363,0.0,0.0,1.887817814158252,0.049881,0.6638774821536,2.551695296311852,0.1272811130753315,0.00634890920131061
deepsjeng_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115632.12047963,241757.30677422,0.0,0.0,0.0,0.0,0.0,0.0,173780.69721450598,265308.826446604,1299476.627511967,0.0,200804.254686433,0.0,0.0,2.29675983311336,0.068811,0.9158211227615999,3.2125809558749596,0.22106090815471183,0.015211422151033875
cam4_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59438.07402726,240887.23503474,0.0,0.0,0.0,0.0,0.0,0.0,152957.105773658,265864.248144508,1166632.774093604,0.0,210563.821323802,0.0,0.0,2.096343258397572,0.069073,0.9193081398687999,3.015651398266372,0.2083000890324531,0.01438791204973863
deepsjeng_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107756.792711455,230401.1579215,0.0,0.0,0.0,0.0,0.0,0.0,169886.42233235697,261359.02028055597,1273015.65474377,0.0,198633.742052291,0.0,0.0,2.2410527900419286,0.067787,0.9021924757472,3.1432452657891288,0.21307116683204766,0.014443455186044014
deepsjeng_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110135.607414695,230575.77374913997,0.0,0.0,0.0,0.0,0.0,0.0,173348.989887721,270204.35534372396,1297390.556232039,0.0,205426.948106174,0.0,0.0,2.287082230733493,0.070082,0.9327371484992001,3.219819379232693,0.2256513817353856,0.015814100134779293
nab_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15027.38093867,208705.63612486998,0.0,0.0,0.0,0.0,0.0,0.0,138384.734882495,206826.175854776,1073286.543583372,0.0,169232.64742378902,0.0,0.0,1.811463118807972,0.053771,0.7156503697376,2.527113488545572,0.13588541939258394,0.007306694886158632
roms_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70847.469849295,276855.23415766994,0.0,0.0,0.0,0.0,0.0,0.0,157908.26385697798,378833.829886476,1186890.36777324,0.0,290159.38129231596,0.0,0.0,2.361494546815975,0.098489,1.3108123201183999,3.672306866934375,0.3616818310174996,0.03562168185508252
mcf_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233941.72719344997,398552.34419281,0.0,0.0,0.0,0.0,0.0,0.0,245869.575729612,629595.69230666,1781688.7066422417,0.0,463574.132261715,0.0,0.0,3.7532221783264883,0.163529,2.1764443531424,5.929666531468888,0.9696724382245758,0.15856956415042667
wrf_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48641.915609425,214461.4763827,0.0,0.0,0.0,0.0,0.0,0.0,159589.933999643,282438.534832068,1216852.525261592,0.0,230653.835180591,0.0,0.0,2.152638221266019,0.073378,0.9766043560768,3.129242577342819,0.22961756184026136,0.016848877452714697
wrf_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11126.527745169999,218566.06922727,0.0,0.0,0.0,0.0,0.0,0.0,154364.309728083,258975.105269584,1185650.332906531,0.0,200051.495936909,0.0,0.0,2.028733840813547,0.067245,0.894978875472,2.923712716285547,0.1966050616066216,0.01322070736773727
cam4_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40488.910621995,218144.84864756,0.0,0.0,0.0,0.0,0.0,0.0,153374.903108646,225000.654775356,1181319.51031374,0.0,184528.443440318,0.0,0.0,2.0028572709076147,0.058458,0.7780307101248,2.7808879810324147,0.16256514959519291,0.009503233515035788
cam4_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58931.699742695,246933.18618567003,0.0,0.0,0.0,0.0,0.0,0.0,163551.282609555,252049.27435562797,1246735.7752163308,0.0,201136.20316411002,0.0,0.0,2.1693374212739887,0.065449,0.8710755062943999,3.0404129275683887,0.19899198569642346,0.013023826471845218
leela_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130767.710335445,283964.45898053,0.0,0.0,0.0,0.0,0.0,0.0,191717.39086604997,302091.05267627194,1428828.5588861909,0.0,235106.600142272,0.0,0.0,2.5724757718867597,0.078395,1.043376740912,3.6158525127987597,0.2834647577408588,0.022222219683094624
leela_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131219.796482375,285710.78289783,0.0,0.0,0.0,0.0,0.0,0.0,188897.77267090202,291160.217784788,1409218.394993252,0.0,225368.342194728,0.0,0.0,2.531575307023875,0.075565,1.0057116324639999,3.537286939487875,0.2672950875824012,0.020198153293164146
leela_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132506.559448695,286397.32958653,0.0,0.0,0.0,0.0,0.0,0.0,189651.03507957,293868.934536388,1414642.494891458,0.0,227508.931385954,0.0,0.0,2.5445752849285945,0.076267,1.0150547088352,3.5596299937637945,0.27148230073438334,0.020705140630109215
namd_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40028.45075666,146612.69182093,0.0,0.0,0.0,0.0,0.0,0.0,140373.275943312,137009.91971912,1121983.0093886089,0.0,126793.68924307599,0.0,0.0,1.7128010368717066,0.035614,0.4739947605184,2.1867957973901064,0.07788054552825124,0.0027736377484431397
imagick_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26234.23997255,89859.9810443,0.0,0.0,0.0,0.0,0.0,0.0,139303.058241404,137137.386365156,1113469.881230034,0.0,128468.933304117,0.0,0.0,1.634473480157561,0.03564,0.47434080038399995,2.1088142805415613,0.07515814095850123,0.002678636143760984
imagick_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26092.14303631,95388.33397621999,0.0,0.0,0.0,0.0,0.0,0.0,139659.309671609,141208.053501908,1115094.204282618,0.0,129977.960878788,0.0,0.0,1.647420005347453,0.036697,0.4884086518432,2.135828657190653,0.0783785042329254,0.0028762559698356635
imagick_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25302.442960795,94524.69160732,0.0,0.0,0.0,0.0,0.0,0.0,139325.084154658,139061.020648852,1113374.712901238,0.0,127992.87151913601,0.0,0.0,1.6395808237919989,0.036139,0.48098210395839996,2.120562927750399,0.07663502364597166,0.0027695131195417696
nab_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38781.865632630004,194306.77033595,0.0,0.0,0.0,0.0,0.0,0.0,159429.276353597,226523.250397256,1241962.886964947,0.0,190659.38330103,0.0,0.0,2.0516634329854098,0.058855,0.7833144726879999,2.8349779056734095,0.1668526246384085,0.009820111223093531
bwaves_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71371.281909885,281639.947485,0.0,0.0,0.0,0.0,0.0,0.0,174778.697444405,629867.013818824,1312422.6536589018,0.0,455741.84180971305,0.0,0.0,2.9258214361267285,0.163755,2.179452238128,5.105273674254729,0.8360140905275832,0.1369014873943444
bwaves_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44907.19820605,209213.42680397,0.0,0.0,0.0,0.0,0.0,0.0,165358.677398819,205221.613033968,1273408.732384433,0.0,170791.829461128,0.0,0.0,2.0689014772883683,0.053275,0.70904899384,2.777950471128368,0.1479953113493638,0.007884450212137357
mcf_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225596.030273065,385079.75382888,0.0,0.0,0.0,0.0,0.0,0.0,272187.049983221,740382.677340604,1974975.4366343566,0.0,577086.0748517989,0.0,0.0,4.175307022911925,0.192317,2.5595903397151996,6.734897362627125,1.2952352560883607,0.24909575874514525
bwaves_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44764.098851475,201708.46710808,0.0,0.0,0.0,0.0,0.0,0.0,166642.51250759698,203462.40379302,1285080.5770886778,0.0,169641.180864224,0.0,0.0,2.0712992402130737,0.052814,0.7029134408384,2.774212681051474,0.14651726853705255,0.007738163020515893
nab_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48228.195498335,141033.8700766,0.0,0.0,0.0,0.0,0.0,0.0,166902.940306116,228476.875441652,1297880.816742522,0.0,192491.207900833,0.0,0.0,2.075013905966058,0.059364,0.7900888685184,2.865102774484458,0.17008396110449536,0.010096864267007262
xz_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139174.57717976,249789.94955713,0.0,0.0,0.0,0.0,0.0,0.0,229301.803883601,456692.459084972,1713416.8650833587,0.0,371042.04946085,0.0,0.0,3.1594177042496723,0.118611,1.5786205576416,4.738038261891273,0.5619834562811857,0.06665741973296772
xz_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140840.41534055,249286.20196988,0.0,0.0,0.0,0.0,0.0,0.0,230774.826182236,453438.96653289994,1727029.0789911079,0.0,365366.69111828797,0.0,0.0,3.1667361801349614,0.11775,1.5671613143999998,4.733897494534961,0.5574164299814917,0.06563578463032065
namd_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50324.874845555,140289.15111905,0.0,0.0,0.0,0.0,0.0,0.0,142318.640128927,148282.548243256,1149006.444917942,0.0,132523.512768069,0.0,0.0,1.7627451720227991,0.038536,0.5128843177216,2.275629489744399,0.08769365801679017,0.0033793628053350264
namd_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42174.843080325,160380.95138477,0.0,0.0,0.0,0.0,0.0,0.0,142315.67775147298,145865.02446136798,1155895.9691672518,0.0,131521.353787483,0.0,0.0,1.7781538196326707,0.037911,0.5045660517216,2.2827198713542707,0.08654019304291176,0.0032808252584498277
mcf_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123393.86786951,203888.92878832,0.0,0.0,0.0,0.0,0.0,0.0,263061.332718943,591429.3881336519,1999543.5127679738,0.0,487446.171566301,0.0,0.0,3.6687632018447,0.153641,2.0448427304096,5.7136059322543,0.8778441290374829,0.13487284982944792
lbm_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23754.109992585,111431.24262206,0.0,0.0,0.0,0.0,0.0,0.0,170890.016390949,546641.6368317,1345335.661897106,0.0,476049.401974416,0.0,0.0,2.674102069708816,0.142117,1.8914672145951998,4.565569284304016,0.6488450099774338,0.09221190628296295
lbm_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23851.07445949,116604.24718174001,0.0,0.0,0.0,0.0,0.0,0.0,173268.34255808202,572466.433184244,1359441.7591259847,0.0,497564.95823504205,0.0,0.0,2.7431968147445827,0.148831,1.9808253552735997,4.724022170018182,0.7030809435859761,0.10464023991484439
lbm_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23949.44516887,118982.45338887,0.0,0.0,0.0,0.0,0.0,0.0,174154.543063577,586956.0955065199,1364519.437652245,0.0,506549.47916846804,0.0,0.0,2.7751114539485497,0.152598,2.0309612081088,4.80607266205735,0.7333970760846276,0.111914927016362
xz_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88603.35635918501,215708.61675256002,0.0,0.0,0.0,0.0,0.0,0.0,224250.31545741903,350443.453903812,1698980.24110969,0.0,276350.320183001,0.0,0.0,2.8543363037656673,0.090974,1.2107934897344,4.065129793500067,0.3698211178338751,0.033644106373818955
