,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
xalancbmk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107068.970720635,133627.68199024998,0.0,0.0,0.0,0.0,0.0,0.0,167974.333340256,260294.37500837998,1274933.8087352598,0.0,226965.174563262,0.0,0.0,2.170864344358043,0.135166,1.0356890379008,3.206553382258843,0.43341699446639875,0.058583241474045256
xalancbmk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103241.868248415,123095.21837789,0.0,0.0,0.0,0.0,0.0,0.0,167263.057030755,257253.42604452,1272226.2568559628,0.0,226188.622299995,0.0,0.0,2.1492684488575375,0.133597,1.0236668126336,3.1729352614911375,0.42389463212943146,0.05663105116859565
povray_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89100.529183025,336870.64827641,0.0,0.0,0.0,0.0,0.0,0.0,169997.06529923697,137590.853876336,1270444.469941567,0.0,119070.93150212,0.0,0.0,2.123074498078695,0.07138,0.5469384573439999,2.670012955422695,0.19058552475807197,0.013603994757231177
roms_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68581.51030426499,233753.96548091,0.0,0.0,0.0,0.0,0.0,0.0,140190.96848218,185529.32901403197,1073486.1171446198,0.0,140746.815744777,0.0,0.0,1.8422887061707838,0.096465,0.7391484769919999,2.581437183162784,0.24901833787379793,0.024021553962995917
roms_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59489.736925425,222327.79129163,0.0,0.0,0.0,0.0,0.0,0.0,139706.594987577,119386.2882361,1078218.4588035608,0.0,99591.625627389,0.0,0.0,1.7187204958716817,0.062074,0.47563263941119993,2.194353135282882,0.1362122765195496,0.00845524085267452
gcc_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142310.627396445,299929.46202975,0.0,0.0,0.0,0.0,0.0,0.0,195432.88695455197,205615.2744129,1433482.397365679,0.0,173905.81015428097,0.0,0.0,2.450676458313607,0.106511,0.8161244330367999,3.266800891350407,0.3479502297386232,0.037060526919690494
povray_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89407.02027937499,338550.39231222,0.0,0.0,0.0,0.0,0.0,0.0,173103.799299131,141531.999826604,1293641.256405854,0.0,122590.968527975,0.0,0.0,2.158825436651159,0.07342,0.5625696488959999,2.721395085547159,0.19980482718087242,0.014669670411619653
gcc_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107059.210939885,288284.63777987,0.0,0.0,0.0,0.0,0.0,0.0,189191.249900432,191034.031340908,1395513.890126376,0.0,170040.80057687702,0.0,0.0,2.341123820664348,0.099044,0.7589096745471999,3.100033495211548,0.3070397174997325,0.030410441780043505
parest_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40708.725813645004,241080.33753199,0.0,0.0,0.0,0.0,0.0,0.0,146072.085021226,198221.06623729598,1111923.150533759,0.0,156913.696166127,0.0,0.0,1.894919061304043,0.103015,0.7893368616319999,2.684255922936043,0.2765186239012565,0.028485566041187935
parest_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40779.069221085,238697.16122468997,0.0,0.0,0.0,0.0,0.0,0.0,146112.24055938,195390.66971459598,1112744.674481166,0.0,155335.15896694,0.0,0.0,1.889058974167857,0.101543,0.7780578841983999,2.667116858366257,0.2708270471490848,0.027500590848659516
parest_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41574.18795238,231579.15461738,0.0,0.0,0.0,0.0,0.0,0.0,146661.52581809898,191808.633409748,1118430.325184672,0.0,153955.00701092702,0.0,0.0,1.8840088339932057,0.099678,0.7637676036864,2.647776437679606,0.2639250597550278,0.02630752210626166
xalancbmk_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34549.09345622,160996.58682828,0.0,0.0,0.0,0.0,0.0,0.0,169536.820926479,437647.05170882,1291233.959028813,0.0,333182.71768876805,0.0,0.0,2.4271462296373802,0.227521,1.7433452613248,4.17049149096218,0.9488743945152063,0.21588885111449424
wrf_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76455.82610312,285666.88383708,0.0,0.0,0.0,0.0,0.0,0.0,141774.179819028,207295.610925324,1080344.91781535,0.0,156575.606681217,0.0,0.0,1.948113025181119,0.107777,0.8258249666175999,2.773937991798719,0.2989667149420905,0.032221735636313684
exchange2_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72068.80393074,138252.36787870998,0.0,0.0,0.0,0.0,0.0,0.0,154987.01559499901,98905.74950506398,1188552.012428399,0.0,100451.560094041,0.0,0.0,1.7532175094319529,0.051315,0.39319342867199997,2.1464109381039527,0.11014307728880433,0.005651992011074994
