,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
povray_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105562.89644227999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157959.928831979,469958.49657162395,1242311.930501784,0.0,320128.03632965503,0.0,0.0,2.295921288677322,0.061036,1.4561192013792,3.7520404900565216,0.22900954335108986,0.013977826487977121
xalancbmk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157154.94967171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180389.68417105998,1038019.921036516,1376533.282431888,0.0,903763.7257175561,0.0,0.0,3.65586156302873,0.134868,3.2175090840095995,6.87337064703833,0.9269977524247655,0.12502233287402326
xalancbmk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151388.31381383998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180370.331528111,1023925.604973176,1377709.5044348459,0.0,890966.317225618,0.0,0.0,3.6243600719755906,0.13304,3.1738989866879996,6.79825905866359,0.904440385164604,0.12032674884229891
povray_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116127.12746649998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174202.263165463,557300.561574988,1363125.3425396457,0.0,380777.80487213103,0.0,0.0,2.591533099618727,0.07237,1.726511347464,4.318044447082727,0.31249687663537695,0.02261539896210223
roms_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99421.92437386999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146842.622588111,579462.30084724,1173568.6337079739,0.0,424595.911364435,0.0,0.0,2.42389139288163,0.075324,1.7969841196127998,4.22087551249443,0.3179332271031305,0.023948002398316202
roms_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86508.67759436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143731.001850538,363422.37130487995,1156756.0507788798,0.0,260123.573410584,0.0,0.0,2.0105416749392417,0.047241,1.1270156496552,3.1375573245944417,0.148221345571166,0.007002124586127453
gcc_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196622.76956835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202732.987556942,829553.639277052,1524925.63205913,0.0,549628.093380129,0.0,0.0,3.303463121841603,0.107693,2.5692025223496,5.872665644191203,0.6324449812198832,0.06810989736251288
povray_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117649.98627882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177981.832619244,574642.852476008,1391824.540556196,0.0,393636.408528687,0.0,0.0,2.655735620458955,0.07462,1.780188983664,4.435924604122954,0.3310086939596549,0.02469986874326945
gcc_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146442.02477514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204112.477089862,761779.3155640879,1550582.983948968,0.0,532868.340603199,0.0,0.0,3.195785141981257,0.098912,2.3597166008064,5.555501742787657,0.5495057883826127,0.05435271654050099
parest_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46173.2887376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168779.971762744,731671.234179356,1343982.9501475769,0.0,562362.166913191,0.0,0.0,2.8529696117404675,0.095079,2.2682737654487997,5.121243377189267,0.4869226990597783,0.04629612330390466
