,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
gcc_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154698.70779624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163100.730087312,250422.93335990398,1241316.920306505,0.0,193229.62052151898,0.0,0.0,2.00276891207148,0.064986,0.8164174023696,2.8191863144410796,0.183207641830268,0.011905931811981796
perlbench_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78130.51136908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138464.18761356198,232578.38866266,1088370.331526259,0.0,186001.056495306,0.0,0.0,1.7235444756668672,0.060466,0.7596327616976,2.483177237364467,0.15014779483447988,0.00907883656246166
perlbench_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78107.75851997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138465.431066949,232584.198987588,1088387.431205531,0.0,186014.695302554,0.0,0.0,1.7235595150825918,0.060468,0.7596578876448,2.4832174027273917,0.15015518990811993,0.009079584023364196
perlbench_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78122.04793001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138465.105691248,232571.50155360397,1088381.287616815,0.0,185990.81783395202,0.0,0.0,1.7235307606256287,0.060465,0.7596201987239999,2.4831509593496284,0.15014372275707527,0.009078440196506556
cactuBSSN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333020.05415228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139986.16399477,715449.6244103679,1046029.6423450629,0.0,448389.98298332305,0.0,0.0,2.6828754678858036,0.186005,2.336775904468,5.019651372353803,0.9336802535146692,0.17366919555499605
cactuBSSN_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314133.34458333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142760.57207643398,729554.855070648,1067778.8293972858,0.0,455792.09205740405,0.0,0.0,2.710019693185102,0.189672,2.3828443286592,5.092864021844302,0.9659737047512524,0.18321816452757955
fotonik3d_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78171.94178364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144968.751560446,247452.801673952,1143187.7171049258,0.0,186966.60817976898,0.0,0.0,1.8007478203027327,0.064316,0.8080002100575999,2.6087480303603328,0.16778423832065514,0.010791211071831256
fotonik3d_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78181.35032160999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144969.249119103,247404.02532324,1143197.464464079,0.0,186927.796047875,0.0,0.0,1.800679885275907,0.064303,0.8078368914008,2.608516776676707,0.16773545429064227,0.01078589291725117
fotonik3d_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78184.11456452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144970.675734753,247408.85942431598,1143211.086232073,0.0,186911.09115606901,0.0,0.0,1.8006858271117308,0.064305,0.807862017348,2.6085478444597308,0.167742669137983,0.010786692338917997
cactuBSSN_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304647.38754793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139542.454851646,707951.8827947079,1047194.771696849,0.0,443731.118573689,0.0,0.0,2.6430676154648216,0.184056,2.3122906689216,4.9553582843864215,0.9120634243910272,0.16787074563971488
